		bait:prey	cnv	exp	np_p_w	t-statistic
2458547	known	EXOSC10:NRAS	EXOSC10	NRAS	0.00506220295197046	-1.902497349116134
2458580	known	FAM41C:NRAS	FAM41C	NRAS	0.024099838596637356	-1.3008595957138067
2458599	known	FAM9B:NRAS	FAM9B	NRAS	0.7611138241373743	1.3255608912239767
2458600	known	FANCA:NRAS	FANCA	NRAS	0.4499599902367404	0.2589872500568319
2458608	known	FBXW10:NRAS	FBXW10	NRAS	0.008790639061752157	-1.6988404389229355
2458647	known	FREM1:NRAS	FREM1	NRAS	0.7350182653969626	0.6797899735473447
2458663	known	GALNTL2:NRAS	GALNTL2	NRAS	0.12598340519566562	-0.5341795950097123
2458704	known	GPR124:NRAS	GPR124	NRAS	0.4507519347510266	1.7796763132896327
2458707	known	GPR157:NRAS	GPR157	NRAS	0.7667050913514362	0.7218133816116359
2458719	known	GSG2:NRAS	GSG2	NRAS	0.016735435210835897	-1.4492041787131047
2458754	known	HMBOX1:NRAS	HMBOX1	NRAS	0.2974594228606041	2.0720551291382687
2458755	known	HMGN2:NRAS	HMGN2	NRAS	0.004660490068666388	-1.9323000305410387
2458778	known	ICMT:NRAS	ICMT	NRAS	0.4707198619338625	0.2935822309272986
2458798	known	IFNA6:NRAS	IFNA6	NRAS	0.6993707618393683	0.6317680451344043
2458844	known	KCNRG:NRAS	KCNRG	NRAS	0.6559566307794051	1.4679844559293687
2458849	known	KCTD12:NRAS	KCTD12	NRAS	0.4087687634963535	1.8525443337619185
2458869	known	KIAA1967:NRAS	KIAA1967	NRAS	0.20023560804640766	2.316736756615085
2458914	known	LIG3:NRAS	LIG3	NRAS	0.9153613718257636	1.126777291661545
2458950	known	LIPG:NRAS	LIPG	NRAS	0.7136472464523383	0.6511033684547911
2459014	known	LOC284344:NRAS	LOC284344	NRAS	0.9118213408793182	0.9087382889185414
2459024	known	LOC339298:NRAS	LOC339298	NRAS	0.7953635487100138	0.759362647977182
2459026	known	LOC341056:NRAS	LOC341056	NRAS	0.308936716149302	-0.007133449638112577
2459067	known	LOXL2:NRAS	LOXL2	NRAS	0.17523230943516968	2.3936308942553426
2459088	known	MACROD2:NRAS	MACROD2	NRAS	0.7929302169487582	0.7561896476854012
2459098	known	MAP4:NRAS	MAP4	NRAS	0.7592158528319906	1.32806793421179
2459102	known	MAPK7:NRAS	MAPK7	NRAS	0.008790639061752157	-1.6988404389229355
2459114	known	MCPH1:NRAS	MCPH1	NRAS	0.5801202651815788	1.5765704843009907
2459135	known	MID1:NRAS	MID1	NRAS	0.5077023305332231	1.6868580236159696
2459255	known	MLL:NRAS	MLL	NRAS	0.01731552039182974	-1.4355745475077666
2459260	known	MMEL1:NRAS	MMEL1	NRAS	0.003327309761173962	-2.052037675025808
2459272	known	MPDZ:NRAS	MPDZ	NRAS	0.7298143759929858	0.6728317934995272
2459315	known	NADK:NRAS	NADK	NRAS	0.0008298288597847721	-2.5210402551425637
2459317	known	NARS:NRAS	NARS	NRAS	0.6544114379055551	0.5698599335518204
2459319	known	NAT2:NRAS	NAT2	NRAS	0.13075095870474265	2.5544773354211334
2459324	known	NBR2:NRAS	NBR2	NRAS	0.2259043322437853	-0.20496683167876673
2459325	known	NCAM1:NRAS	NCAM1	NRAS	0.06664227625863119	-0.8518871661416512
2459329	known	NCOR1:NRAS	NCOR1	NRAS	0.011585058623647544	-1.593562300996909
2459331	known	NEDD4L:NRAS	NEDD4L	NRAS	0.7573464446636692	0.7094608261497611
2459332	known	NEFL:NRAS	NEFL	NRAS	0.2974594228606004	2.072055129138273
2459334	known	NEIL2:NRAS	NEIL2	NRAS	0.3087575921927408	2.0475175043299787
2459353	known	NMNAT1:NRAS	NMNAT1	NRAS	0.00506220295197046	-1.902497349116134
2459357	known	NOL4:NRAS	NOL4	NRAS	0.3727871663373883	0.12127112995712275
2490714	known	ISG15:OASL	ISG15	OASL	0.8748619935085544	0.8613569832221224
2522566	known	IFI35:OPTN	IFI35	OPTN	0.15813323673788962	-0.41120655781387994
2595057	known	CTDSPL:PDGFRA	CTDSPL	PDGFRA	0.8855886206659795	1.1665344658294794
2595062	known	CTSB:PDGFRA	CTSB	PDGFRA	0.04621092681053391	-1.1670108765084453
2595186	known	EGR3:PDGFRA	EGR3	PDGFRA	0.009865278515694431	-1.9636894927552406
2641001	known	HRAS:PI3	HRAS	PI3	0.5112516499863375	0.35318657608183956
2645557	known	HRAS:PITX2	HRAS	PITX2	0.032563865569750335	-1.2380517522865158
2652391	known	HRAS:PKIA	HRAS	PKIA	0.17798854804221734	2.4030251617073155
2659225	known	HRAS:PLA2G2A	HRAS	PLA2G2A	0.4234502173369993	1.8380850492427745
2672893	known	HRAS:PLAUR	HRAS	PLAUR	0.3248715430204796	0.02627376678916238
2688070	known	ADAM9:PLK2	ADAM9	PLK2	0.8644034489171685	1.1915441941863856
2688839	known	HRAS:PLK2	HRAS	PLK2	0.6465350755135035	1.4810249190672375
2775403	known	HRAS:PRKAR2B	HRAS	PRKAR2B	0.4799571305435609	0.3082984019623838
2784515	known	HRAS:PRLR	HRAS	PRLR	0.09474981412111223	2.7276462939906296
2795905	known	HRAS:PROM1	HRAS	PROM1	0.9422672294364024	0.9469266059777073
2812444	known	NNMT:PRSS23	NNMT	PRSS23	0.8685584251156573	1.1863423002815943
2840793	known	ATP2C2:PTGS1	ATP2C2	PTGS1	0.7948793033637578	0.7574354402496473
2840921	known	CACNA2D2:PTGS1	CACNA2D2	PTGS1	0.10603344501885878	-0.6522115553218693
2840957	known	CCL23:PTGS1	CCL23	PTGS1	0.7625954120730907	1.3251454146566075
2841081	known	CTDSPL:PTGS1	CTDSPL	PTGS1	0.7877851352095532	1.29187654106667
2841086	known	CTSB:PTGS1	CTSB	PTGS1	0.11856569910711802	-0.5921182127083795
2841210	known	EGR3:PTGS1	EGR3	PTGS1	0.15566477969046666	-0.4406015894479758
2841241	known	ERMP1:PTGS1	ERMP1	PTGS1	0.19116671825735893	-0.320771949809908
2841434	known	GTF2H5:PTGS1	GTF2H5	PTGS1	0.9656162874435322	1.0635085997403473
2841779	known	LRRC37A:PTGS1	LRRC37A	PTGS1	0.11283620286903175	-0.6189004010023702
2842045	known	NFATC1:PTGS1	NFATC1	PTGS1	0.6890483996527264	0.6155229950797165
2945581	known	ATP2C2:RET	ATP2C2	RET	0.587567172651972	0.4702446317201783
2945709	known	CACNA2D2:RET	CACNA2D2	RET	0.857130054949576	1.2019757332629522
2945745	known	CCL23:RET	CCL23	RET	0.5835345328506358	1.5757373523590048
2945869	known	CTDSPL:RET	CTDSPL	RET	0.2704277124741009	2.1481036509317555
2945874	known	CTSB:RET	CTSB	RET	0.4900301125357179	0.3189765408511619
2945938	known	DLAT:RET	DLAT	RET	0.941131127176096	0.9453743797105849
2945998	known	EGR3:RET	EGR3	RET	0.9919739735935452	1.0301646143836514
2946029	known	ERMP1:RET	ERMP1	RET	0.5408119878382145	1.6404455358297894
2946222	known	GTF2H5:RET	GTF2H5	RET	0.3800089648997417	1.9143641281418964
2946313	known	IRF7:RET	IRF7	RET	0.4192749696527576	1.8418095638769445
2946567	known	LRRC37A:RET	LRRC37A	RET	0.1836610869559333	-0.34904993833330833
2946591	known	MAPK11:RET	MAPK11	RET	0.8470749878929786	1.2149474827035731
2946833	known	NFATC1:RET	NFATC1	RET	0.2670958522711711	-0.11618937163796716
2969033	known	HRAS:RHOBTB3	HRAS	RHOBTB3	0.1282446801292919	2.5634958356299684
2983007	known	LOXL2:RND3	LOXL2	RND3	0.09611651970816096	-0.6719475653666735
2984979	known	HRAS:RNF128	HRAS	RNF128	0.35362868410389203	1.9582142765007773
3076610	known	MPDZ:SDC2	MPDZ	SDC2	0.3128832566328941	-0.0024186704932338543
3114825	known	HRAS:SERPINB5	HRAS	SERPINB5	0.6149160351763283	1.531468268183807
3118851	known	CCBE1:SERPINE1	CCBE1	SERPINE1	0.01884899001681837	-1.4987632534375872
3130019	known	AGRN:SFN	AGRN	SFN	0.9891029220870544	1.0337179291999739
3131662	known	RASSF7:SFN	RASSF7	SFN	0.07107922137049658	2.8593139752991084
3261641	known	SH2D4A:SLPI	SH2D4A	SLPI	0.989905065530476	1.0327382441939938
3263948	known	SLC22A1:SMARCA1	SLC22A1	SMARCA1	0.11044811812821924	-0.608278044532353
3263949	known	SLC22A2:SMARCA1	SLC22A2	SMARCA1	0.11044811812821924	-0.608278044532353
3276563	known	HRAS:SNX10	HRAS	SNX10	0.06664068131570974	2.8986306934879362
3277616	known	SLC22A1:SNX10	SLC22A1	SNX10	0.5776520509446371	1.5808050684542467
3277617	known	SLC22A2:SNX10	SLC22A2	SNX10	0.5776520509446371	1.5808050684542467
3281119	known	HRAS:SOCS2	HRAS	SOCS2	0.4935101941040208	0.32975819306357756
3317567	known	HRAS:SPHK1	HRAS	SPHK1	0.6448886591141108	1.483798414385462
3326007	known	ATP2C2:SPINT2	ATP2C2	SPINT2	0.22863427984319665	2.239443648163327
3326546	known	FLI1:SPINT2	FLI1	SPINT2	0.28003715090226605	2.1125674075422585
3349459	known	HRAS:SPRY2	HRAS	SPRY2	0.10987671794381876	-0.6170482415496714
3376795	known	HRAS:STARD10	HRAS	STARD10	0.09603801204392927	2.712865241389414
3431467	known	HRAS:SYTL2	HRAS	SYTL2	0.04247750691500588	3.1043085250150764
3435351	known	ATP2C2:TACSTD2	ATP2C2	TACSTD2	0.9030248611980122	1.1425300245836958
3437180	known	ST14:TACSTD2	ST14	TACSTD2	0.4280067901157072	1.8198380983467004
3473524	known	SLC22A1:TFAP2B	SLC22A1	TFAP2B	0.050638409615481016	3.123268150780459
3473525	known	SLC22A2:TFAP2B	SLC22A2	TFAP2B	0.050638409615481016	3.123268150780459
3503095	known	SERPINB7:THBS1	SERPINB7	THBS1	0.08768470601737165	-0.7211640976064733
3567026	known	ST14:TMEM45B	ST14	TMEM45B	0.5787088019061208	1.5805002980929441
3596744	known	TMEM51:TNFRSF21	TMEM51	TNFRSF21	0.9458046077293191	0.9517182884565749
3613707	known	HRAS:TP53I3	HRAS	TP53I3	0.08705911023382938	-0.7261094979025433
3639922	known	ST14:TRIM29	ST14	TRIM29	0.5198233007120334	0.36845208988288636
3662554	known	SERPINB5:TSPAN1	SERPINB5	TSPAN1	0.5358118368296275	1.644992262746645
3670657	known	HRAS:TSPYL5	HRAS	TSPYL5	0.9827320556884821	1.0417762760223757
3684325	known	HRAS:TWIST1	HRAS	TWIST1	0.7063859282685332	0.6402823589758677
3703602	known	SLC22A1:UCP2	SLC22A1	UCP2	0.7051314748607129	1.4006185050385829
3703603	known	SLC22A2:UCP2	SLC22A2	UCP2	0.7051314748607129	1.4006185050385829
3738461	known	CASP9:VAV3	CASP9	VAV3	0.2877869475748305	2.0946679820774814
3792444	known	SLC22A1:WNT5A	SLC22A1	WNT5A	0.03138064531742595	-1.2172193038785668
3792445	known	SLC22A2:WNT5A	SLC22A2	WNT5A	0.03138064531742595	-1.2172193038785668
1217706	potential	MIR4529:FERMT1	MIR4529	FERMT1	0.5495854955410573	0.6033710743214072
1641036	potential	KCNIP4:IFIH1	KCNIP4	IFIH1	0.6290106243208826	0.4858905998461063
2205126	potential	ADAD2:MDK	ADAD2	MDK	0.8325897579276738	-0.2127002718783556
1654343	potential	DRD2:IGFBP2	DRD2	IGFBP2	0.6160366601251983	0.505232486848192
3203721	potential	INPP5K:SLC1A1	INPP5K	SLC1A1	0.6697823852633565	-0.4295357252394819
3484835	potential	SALL3:TGFB1I1	SALL3	TGFB1I1	0.631035182480741	-0.4855913666403274
2095222	potential	RNH1:LPAR1	RNH1	LPAR1	0.05725432649277806	-1.9625247504617347
1747510	potential	CCDC70:ITGA6	CCDC70	ITGA6	0.9974395888153048	-0.0032244693034225325
3374510	potential	HMBOX1:STAP2	HMBOX1	STAP2	0.05365794910122594	1.9719056926764866
933143	potential	OR1A2:DNAJC22	OR1A2	DNAJC22	0.6257151347010397	0.4916607263415772
2874102	potential	PHF13:PXDN	PHF13	PXDN	0.3074916721182789	-1.03123998219596
2687090	potential	MTMR7:PLIN2	MTMR7	PLIN2	0.17645616637089645	-1.3707485610881094
1064877	potential	LOC284294:EMP3	LOC284294	EMP3	0.7775434986840706	-0.28536334123367524
1475945	potential	TNFRSF18:GRB14	TNFRSF18	GRB14	0.017225009386001505	2.5267341154995284
1216865	potential	CTDNEP1:FERMT1	CTDNEP1	FERMT1	0.702036009323365	-0.38526045310662205
1352788	potential	SPATA19:GALNT3	SPATA19	GALNT3	0.5459079266885234	0.6080478704679869
2599495	potential	CCL4L2:PDLIM4	CCL4L2	PDLIM4	0.9730294600722096	0.03411250515540897
2253366	potential	CWF19L2:MIEN1	CWF19L2	MIEN1	0.25276276334037345	1.1553613787926822
1573155	potential	MYCBP2-AS1:HOXA5	MYCBP2-AS1	HOXA5	0.03678463762207393	-2.158622921482342
2982068	potential	BNC2:RND3	BNC2	RND3	0.4634463377486675	-0.7381588162111979
3668336	potential	GRP:TSPAN8	GRP	TSPAN8	0.9993228602550304	0.0008620247890359645
1913508	potential	ZNF703:LARP6	ZNF703	LARP6	0.1393830875457722	-1.5020142857129868
414232	potential	SNORD58C:C9orf152	SNORD58C	C9orf152	0.9909771341917196	-0.011389791575500392
1871188	potential	LGI3:KRT6A	LGI3	KRT6A	0.3394043032141021	0.9986964747009084
2218021	potential	PDCD1LG2:MESP1	PDCD1LG2	MESP1	0.057797441321682484	-1.9727838875261077
3618515	potential	LOC284294:TPM2	LOC284294	TPM2	0.08995824227882908	-1.7612254147504092
429760	potential	PANX2:CADM1	PANX2	CADM1	0.7690760814038619	-0.2952858636349673
526455	potential	C6orf118:CD9	C6orf118	CD9	0.4273110000878895	0.7995152936271884
911241	potential	ADRA1A:DIRAS3	ADRA1A	DIRAS3	0.2949698832817496	-1.076990011204966
3020876	potential	C9orf123:S100A8	C9orf123	S100A8	0.3073880301169888	-1.0367542422909861
233326	potential	LINC00441:ARSJ	LINC00441	ARSJ	0.4431877577109935	-0.7751317500626002
702561	potential	LARGE:COL9A3	LARGE	COL9A3	0.9323347801603032	-0.08625388607599789
935927	potential	SPRYD7:DNALI1	SPRYD7	DNALI1	0.13884776169156027	1.5529704301245395
2333753	potential	LOC440563:MX1	LOC440563	MX1	0.2547133774991528	-1.1637330740127017
3645894	potential	LOC728392:TRIM6	LOC728392	TRIM6	0.045133485764676885	-2.062105785067053
766401	potential	LOC100128239:CST4	LOC100128239	CST4	0.7047497333610822	-0.3873703204529665
2330474	potential	AOC2:MUM1L1	AOC2	MUM1L1	0.5670785819895905	0.5792100264877563
1638624	potential	GPR124:IFI6	GPR124	IFI6	0.06655871519469161	1.8755736931793727
2157893	potential	FAM66E:MAFB	FAM66E	MAFB	0.5176557183574315	0.6519846726654884
849336	potential	SNX19:CYP24A1	SNX19	CYP24A1	0.4239265663413423	0.8220442066347033
1609506	potential	MIR4252:HSPA2	MIR4252	HSPA2	0.3692894007681342	0.9055176735123512
2146841	potential	LINC00348:LY75	LINC00348	LY75	0.9317496554346324	0.08651065862004173
3539311	potential	PLD2:TMC5	PLD2	TMC5	0.8337957461567772	-0.21128267224843206
216234	potential	TPT1-AS1:ARHGDIB	TPT1-AS1	ARHGDIB	0.05491458092088724	-1.968581289681469
3578314	potential	SLC22A3:TMTC1	SLC22A3	TMTC1	0.05523783096384687	-2.010898603664099
1105733	potential	KIAA1432:ERMP1	KIAA1432	ERMP1	0.2166667926811735	-1.249535054059584
2352746	potential	SLC18A1:MYLK	SLC18A1	MYLK	0.0021714082044554006	-3.2200593561801574
990060	potential	NRG1-IT3:DYNLT3	NRG1-IT3	DYNLT3	0.6378479152204284	0.47324202488837197
1522774	potential	LOC390705:HECW2	LOC390705	HECW2	0.1274628474497196	1.5582568501781875
3257671	potential	ATP6V1B2:SLITRK6	ATP6V1B2	SLITRK6	0.5678893669857951	-0.5767772379584661
1891414	potential	FLJ39051:KYNU	FLJ39051	KYNU	0.010888467761447104	2.6853183196078905
1850770	potential	LOC100652770:KRT14	LOC100652770	KRT14	0.7990562750597682	0.25913148603206954
3554916	potential	MIR3975:TMEM200A	MIR3975	TMEM200A	0.24688495051803125	-1.188186368482864
3787690	potential	PSME3:WLS	PSME3	WLS	0.0788535090670193	-1.7991634286225089
245138	potential	NNMT:ATP8B1	NNMT	ATP8B1	0.5543530989791414	0.5948299759226271
2185087	potential	DLC1:MAP1B	DLC1	MAP1B	0.0034733534115674995	-3.0974297496914023
2046278	potential	FAM90A2P:LOC100509100	FAM90A2P	LOC100509100	0.01009217545236686	-2.7748282744219113
463772	potential	MYH13:CASP1	MYH13	CASP1	0.1740103716364795	-1.3977184787882135
3613289	potential	CNDP2:TP53I3	CNDP2	TP53I3	0.102677400181124	-1.6630961692095212
2274866	potential	NXN:MMEL1	NXN	MMEL1	0.10952770412559756	1.6276619347099874
2883892	potential	ZBTB4:RAB11FIP1	ZBTB4	RAB11FIP1	0.00017851988927957977	4.0101641043756215
371790	potential	DHX33:C1orf64	DHX33	C1orf64	0.9933929292690898	-0.008390464998589673
1415338	potential	GALNT1:GLIPR1	GALNT1	GLIPR1	0.047121672125907184	-2.0307903524826263
2920772	potential	CLSTN1:RBMS3	CLSTN1	RBMS3	0.2137222443700524	-1.2822718983571642
347909	potential	PSMD13:C16orf45	PSMD13	C16orf45	0.9896202425684804	-0.01309103293352337
2596477	potential	SIGLEC14:PDGFRA	SIGLEC14	PDGFRA	0.9608270708327804	0.05000213433628115
2505261	potential	RNF26:OLFM1	RNF26	OLFM1	0.5635030098643798	0.5857632494946735
926467	potential	POU2AF1:DNAJA4	POU2AF1	DNAJA4	0.002077306119432011	3.263845990207233
90688	potential	SLC14A1:AGTR1	SLC14A1	AGTR1	0.0877252560762817	-1.7870005321375892
531417	potential	FBXO25:CDC42EP3	FBXO25	CDC42EP3	0.2646272474339548	-1.1279316414077716
1768613	potential	KCTD1:KANK4	KCTD1	KANK4	0.8916020689311693	0.13919859902409867
7885	potential	LOC284294:ABCA1	LOC284294	ABCA1	0.5882933278558101	0.5449008781170267
3824171	potential	RASD1:ZIM2	RASD1	ZIM2	0.14336845877071538	1.6224288599197771
1443991	potential	TEKT1:GPC5	TEKT1	GPC5	0.1296529189348894	1.618021830714731
512655	potential	ARL11:CD248	ARL11	CD248	0.3344647349435141	-0.9820923674299692
3307595	potential	YBX2:SOX9	YBX2	SOX9	0.934917074132822	0.08204147952166403
1993195	potential	ZBTB44:LOC100287628	ZBTB44	LOC100287628	0.4191703473989987	0.8156946817530285
1085240	potential	KIF1C:EPDR1	KIF1C	EPDR1	0.9356476211113908	0.08116576272963234
899097	potential	PIR-FIGF:DEPTOR	PIR-FIGF	DEPTOR	0.11614502284691686	-1.5978094070930906
813091	potential	TSHZ1:CXCL14	TSHZ1	CXCL14	0.8249077437326768	0.2271180317524105
115138	potential	MIR4252:AKR1C3	MIR4252	AKR1C3	0.06309577943860081	-1.907902703229733
1397044	potential	FAM83G:GHR	FAM83G	GHR	0.05622569504251159	1.962250438796112
2902617	potential	DDX25:RARRES3	DDX25	RARRES3	0.7314436611332847	-0.34574172513844226
1012495	potential	LOC340357:EEF1A2	LOC340357	EEF1A2	0.7730644824357082	0.29032896882420683
3491841	potential	SPNS3:TGFBI	SPNS3	TGFBI	0.01348205172921131	-2.5769519674432746
1544132	potential	SORBS3:HIST1H2BD	SORBS3	HIST1H2BD	0.061405502668619015	1.908206814755076
218591	potential	VCX3B:ARL14	VCX3B	ARL14	0.044671596951806926	2.2944844456253555
535004	potential	SRR:CDC42EP5	SRR	CDC42EP5	0.4773396402211558	-0.7165740835824749
2486887	potential	PMAIP1:NXPH1	PMAIP1	NXPH1	0.517698802764589	-0.6705412167675573
2647351	potential	CDH2:PKD2	CDH2	PKD2	0.7565517337323981	-0.3115903150177193
2625513	potential	MIR4659A:PGR	MIR4659A	PGR	0.4816541349148745	-0.7228838484109563
3139023	potential	YBX2:SFRP4	YBX2	SFRP4	0.3669302071685699	-0.9221382665588485
3476546	potential	CDHR5:TFF3	CDHR5	TFF3	0.8161283582902561	-0.2349929508543455
3695744	potential	IFNA14:UCA1	IFNA14	UCA1	0.7561543033648152	-0.31443354760062364
178835	potential	MCAM:ANXA3	MCAM	ANXA3	0.6651796982625503	-0.4352535164518187
3285626	potential	GRAP:SORBS2	GRAP	SORBS2	0.8234224810781866	0.22504332598642227
1660132	potential	RP1L1:IGFBP4	RP1L1	IGFBP4	0.8196574928317547	-0.2294900745194711
1557356	potential	OR8G1:HLA-F	OR8G1	HLA-F	0.1865364595835784	-1.3372843809976953
410154	potential	ASGR2:C8orf84	ASGR2	C8orf84	0.2929400715622085	-1.072609655457862
1899180	potential	PPP2CB:LAMA4	PPP2CB	LAMA4	0.05271823971929876	-2.0661914721965777
757511	potential	MIR3183:CRYM	MIR3183	CRYM	0.27059175558457144	1.1315223986641698
759915	potential	MYH4:CSGALNACT1	MYH4	CSGALNACT1	0.12185494211297156	-1.5833418632556735
